cutoff,9,,,,,,,,,
Database,h2_pem,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Activity,"hydrogen production, electrolysis, 25 bar, domestic, EP2050",,,,,,,,,
production amount,1.00E+00,,,,,,,,,
comment,"1 kg H2 produced using a PEM electrolyzer. Source: Bareiß, K., de la Rua, C., Möckl, M., Hamacher, T., 2019. Life cycle assessment of hydrogen from proton exchange membrane water electrolysis in future energy systems 237, 862-872. 10.1016/j.apenergy.2019.01.001",,,,,,,,,
reference product,"hydrogen, gaseous",,,,,,,,,
location,CH,,,,,,,,,
unit,kilogram,,,,,,,,,
Exchanges,,,,,,,,,,
name,amount,database,location,unit,type,reference product,categories,comment,,
"hydrogen production, electrolysis, 25 bar, domestic, EP2050",1.00E+00,h2_pem,CH,kilogram,production,"hydrogen, gaseous",,,,
"electrolyzer, PEM, Balance of Plant",3.28E-07,h2_pem,GLO,unit,technosphere,"electrolyzer, PEM, Balance of Plant",,"Assuming lifetime of electrolyzer stack of 7 years, BOP 20 years",,
"electrolyzer, PEM, Stack",9.38E-07,h2_pem,GLO,unit,technosphere,"electrolyzer, PEM, Stack",,,,
"market for electricity, low voltage",5.46E+01,ecoinvent 3.7.1,CH,kilowatt hour,technosphere,"electricity, low voltage",,Electricity consumption with 61% eff.,,
"market for water, deionised",1.20E+01,ecoinvent 3.7.1,Europe without Switzerland,kilogram,technosphere,"water, deionised",,"A perfect reaction of H2O results in 1 kg H2 and 8 kg O2, and needs 9 kg H2O, however, considering some losses we assume 12 kg H2O. ",,
Oxygen,8.00E+00,biosphere3,,kilogram,biosphere,,air,this flow is available if ecoinvent 3.8 is used,,
,,,,,,,,,,
Activity,"hydrogen production, electrolysis, 25 bar, imported, EP2050",,,,,,,,,
production amount,1.00E+00,,,,,,,,,
comment,"1 kg H2 produced using a PEM electrolyzer. Source: Bareiß, K., de la Rua, C., Möckl, M., Hamacher, T., 2019. Life cycle assessment of hydrogen from proton exchange membrane water electrolysis in future energy systems 237, 862-872. 10.1016/j.apenergy.2019.01.001",,,,,,,,,
reference product,"hydrogen, gaseous",,,,,,,,,
location,CH,,,,,,,,,
unit,kilogram,,,,,,,,,
Exchanges,,,,,,,,,,
name,amount,database,location,unit,type,reference product,categories,comment,,
"hydrogen production, electrolysis, 25 bar, imported, EP2050",1.00E+00,h2_pem,CH,kilogram,production,"hydrogen, gaseous",,,,
"electrolyzer, PEM, Balance of Plant",3.28E-07,h2_pem,GLO,unit,technosphere,"electrolyzer, PEM, Balance of Plant",,"Assuming lifetime of electrolyzer stack of 7 years, BOP 20 years",,
"electrolyzer, PEM, Stack",9.38E-07,h2_pem,GLO,unit,technosphere,"electrolyzer, PEM, Stack",,,,
"market for electricity, low voltage",5.46E+01,ecoinvent 3.7.1,CH,kilowatt hour,technosphere,"electricity, low voltage",,Electricity consumption with 61% eff.,,
"market for water, deionised",1.20E+01,ecoinvent 3.7.1,Europe without Switzerland,kilogram,technosphere,"water, deionised",,"A perfect reaction of H2O results in 1 kg H2 and 8 kg O2, and needs 9 kg H2O, however, considering some losses we assume 12 kg H2O. ",,
Oxygen,8.00E+00,biosphere3,,kilogram,biosphere,,air,this flow is available if ecoinvent 3.8 is used,,
,,,,,,,,,,
,,,,,,,,,,
Activity,"electrolyzer, PEM",,,,,,,,,
production amount,1.00E+00,,,,,,,,,
comment,"1 MW PEM electrolyzer based on Bareiß, K., de la Rua, C., Möckl, M., Hamacher, T., 2019. Life cycle assessment of hydrogen from proton exchange membrane water electrolysis in future energy systems 237, 862-872. 10.1016/j.apenergy.2019.01.001",,,,,,,,,
reference product,"electrolyzer, PEM",,,,,,,,,
location,GLO,,,,,,,,,
unit,unit,,,,,,,,,
Exchanges,,,,,,,,,,
name,amount,database,location,unit,type,reference product,categories,comment,,
"electrolyzer, PEM",1.00E+00,h2_pem,GLO,unit,production,"electrolyzer, PEM",,,,
"electrolyzer, PEM, Balance of Plant",3.50E-01,h2_pem,GLO,unit,technosphere,"electrolyzer, PEM, Balance of Plant",,"Assuming lifetime of electrolyzer stack of 7 years, BOP 20 years",,
"electrolyzer, PEM, Stack",1.00E+00,h2_pem,GLO,unit,technosphere,"electrolyzer, PEM, Stack",,,,
,,,,,,,,,,
,,,,,,,,,,
Activity,"electrolyzer, PEM, Stack",,,,,,,,,
production amount,1.00E+00,,,,,,,,,
comment,"1 MW PEM electrolyzer based on Bareiß, K., de la Rua, C., Möckl, M., Hamacher, T., 2019. Life cycle assessment of hydrogen from proton exchange membrane water electrolysis in future energy systems 237, 862-872. 10.1016/j.apenergy.2019.01.001",,,,,,,,,
reference product,"electrolyzer, PEM, Stack",,,,,,,,,
location,GLO,,,,,,,,,
unit,unit,,,,,,,,,
Exchanges,,,,,,,,,,
name,amount,database,location,unit,type,reference product,categories,comment,,
"electrolyzer, PEM, Stack",1.00E+00,h2_pem,GLO,unit,production,"electrolyzer, PEM, Stack",,,,
market for titanium,5.28E+02,ecoinvent 3.7.1,GLO,kilogram,technosphere,titanium,,,,
"market for aluminium, wrought alloy",2.70E+01,ecoinvent 3.7.1,GLO,kilogram,technosphere,"aluminium, wrought alloy",,,,
"market for steel, chromium steel 18/8, hot rolled",1.00E+02,ecoinvent 3.7.1,GLO,kilogram,technosphere,"steel, chromium steel 18/8, hot rolled",,,,
"market for copper, anode",4.50E+00,ecoinvent 3.7.1,GLO,kilogram,technosphere,"copper, anode",,,,
"market for activated carbon, granular",9.00E+00,ecoinvent 3.7.1,GLO,kilogram,technosphere,"activated carbon, granular",,,,
market for tetrafluoroethylene,1.32E+01,ecoinvent 3.7.1,GLO,kilogram,technosphere,tetrafluoroethylene,,"Nafion (PTFE+H2SO4), TFE used as best approximation for PTFE (see https://hal-emse.ccsd.cnrs.fr/emse-01392130/file/Environmental%20assessment%20of%20proton%20exchange%20membrane%20fuel%20cell%20platinum%20catalyst%20recycling.pdf). ",,
market for sulfuric acid,2.80E+00,ecoinvent 3.7.1,RoW,kilogram,technosphere,sulfuric acid,,"Nafion (PTFE+H2SO4), TFE used as best approximation for PTFE (see https://hal-emse.ccsd.cnrs.fr/emse-01392130/file/Environmental%20assessment%20of%20proton%20exchange%20membrane%20fuel%20cell%20platinum%20catalyst%20recycling.pdf). ",,
market for platinum,7.50E-02,ecoinvent 3.7.1,GLO,kilogram,technosphere,platinum,,,,
"Iridium, in ground",7.50E-01,biosphere3,,kilogram,biosphere,,natural resource::in ground,,,
,,,,,,,,,,
,,,,,,,,,,
Activity,"electrolyzer, PEM, Balance of Plant",,,,,,,,,
production amount,1.00E+00,,,,,,,,,
comment,"1 MW PEM electrolyzer based on Bareiß, K., de la Rua, C., Möckl, M., Hamacher, T., 2019. Life cycle assessment of hydrogen from proton exchange membrane water electrolysis in future energy systems 237, 862-872. 10.1016/j.apenergy.2019.01.001",,,,,,,,,
reference product,"electrolyzer, PEM, Balance of Plant",,,,,,,,,
location,GLO,,,,,,,,,
unit,unit,,,,,,,,,
Exchanges,,,,,,,,,,
name,amount,database,location,unit,type,reference product,categories,comment,,
"electrolyzer, PEM, Balance of Plant",1.00E+00,h2_pem,GLO,unit,production,"electrolyzer, PEM, Balance of Plant",,,,
"market for steel, chromium steel 18/8",1.90E+03,ecoinvent 3.7.1,GLO,kilogram,technosphere,"steel, chromium steel 18/8",,,,
"market for steel, low-alloyed",4.80E+03,ecoinvent 3.7.1,GLO,kilogram,technosphere,"steel, low-alloyed",,,,
"market for copper, anode",1.00E+02,ecoinvent 3.7.1,GLO,kilogram,technosphere,"copper, anode",,,,
"market for aluminium, wrought alloy",1.00E+02,ecoinvent 3.7.1,GLO,kilogram,technosphere,"aluminium, wrought alloy",,,,
"market for polypropylene, granulate",3.00E+02,ecoinvent 3.7.1,GLO,kilogram,technosphere,"polypropylene, granulate",,,,
"market for electronics, for control units",1.10E+03,ecoinvent 3.7.1,GLO,kilogram,technosphere,"electronics, for control units",,,,
"market group for concrete, normal",2.33E+00,ecoinvent 3.7.1,GLO,cubic meter,technosphere,"concrete, normal",,2400 kg/m3,,
"market for chemical, organic",2.00E+02,ecoinvent 3.7.1,GLO,kilogram,technosphere,"chemical, organic",,"adsorbent, lubricant",,
"Transformation, from grassland, natural (non-use)",1.49E+01,biosphere3,,square meter,biosphere,,natural resource::land,,,
"Transformation, to industrial area",1.49E+01,biosphere3,,square meter,biosphere,,natural resource::land,,,
"Occupation, industrial area",2.97E+02,biosphere3,,square meter-year,biosphere,,natural resource::land,,,
,,,,,,,,,,
Activity,"Diesel production, synthetic, Fischer Tropsch process, hydrogen from electrolysis, energy allocation, EP2050",,,,,,,,,
production amount,1,,,,,,,,,
reference product,"Diesel, synthetic",,,,,,,,,
type,process,,,,,,,,,
unit,kilogram,,,,,,,,,
location,CH,,,,,,,,,
comment,"Adapted from van der Giesen et al. 2014. LHV: 43.3 MJ/kg, Formula: C13H18, Density: 7551 kg/m3. Energy-based allocation between 3 other co-products. Allocation key for this co-product: 37%. Post corrected to preserve carbon balance.",,,,,,,,,
source,"Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2, Coen van der Giesen, René Kleijn, and Gert Jan Kramer, Environmental Science & Technology 2014 48 (12), 7111-7121, DOI: 10.1021/es500191g",,,,,,,,,
Exchanges,,,,,,,,,,
name,amount,location,unit,categories,type,reference product,database,comment,,
"Diesel production, synthetic, Fischer Tropsch process, hydrogen from electrolysis, energy allocation, EP2050",1,CH,kilogram,,production,"Diesel, synthetic",Car db,From PEM electrolysis,,
"Syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from electrolysis, EP2050",2.26,CH,kilogram,,technosphere,"Syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from electrolysis",Car db,,,
Gas-to-liquid plant construction,6.70E-12,GLO,unit,,technosphere,Gas-to-liquid plant,Car db,,,
"Carbon dioxide, in air",0.05,,kilogram,natural resource::in air,biosphere,,biosphere3,,,
,,,,,,,,,,
Activity,"Syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from electrolysis, EP2050",,,,,,,,,
production amount,1,,,,,,,,,
reference product,"Syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from electrolysis",,,,,,,,,
type,process,,,,,,,,,
unit,kilogram,,,,,,,,,
location,CH,,,,,,,,,
comment,Adapted from van der Giesen et al. 2014. Density of syngas: 0.470kg/m3 @1 bar. LHV: 23.9 MJ/kg.,,,,,,,,,
